Ukazatel,Rok sčítání,Území,Věk,Nejvyšší dosažené vzdělání,Pohlaví,value
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Obyvatelstvo ve věku 15 a více let,Celkem,8947632
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Obyvatelstvo ve věku 15 a více let,Ženy,4601815
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Obyvatelstvo ve věku 15 a více let,Muži,4345817
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Bez vzdělání,Celkem,42384
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Bez vzdělání,Ženy,22686
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Bez vzdělání,Muži,19698
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Základní vč. neukončeného,Celkem,1571602
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Základní vč. neukončeného,Ženy,992586
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Základní vč. neukončeného,Muži,579016
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Celkem,2952112
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Ženy,1249009
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Střední vč. vyučení (bez maturity),Muži,1703103
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Úplné střední (s maturitou),Celkem,2425064
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Úplné střední (s maturitou),Ženy,1356022
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Úplné střední (s maturitou),Muži,1069042
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Nástavbové studium,Celkem,247937
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Nástavbové studium,Ženy,159724
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Nástavbové studium,Muži,88213
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Vyšší odborné vzdělání,Celkem,117111
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Vyšší odborné vzdělání,Ženy,74050
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Vyšší odborné vzdělání,Muži,43061
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Vysokoškolské,Celkem,1114731
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Vysokoškolské,Ženy,537046
Počet obyvatel (obvyklý pobyt),2011,Česká republika,15 a více let,Vysokoškolské,Muži,577685
